element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
169,4,17,1,False,2020-09-13T15:30:00Z,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,4.0,0.4,60,0,28479,0,0
169,12,18,1,True,2020-09-19T11:30:00Z,5,2,2,12,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,1.3,7.0,0.5,60,-2499,34460,3590,6089
169,21,6,0,False,2020-09-26T14:00:00Z,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-5862,31953,2522,8384
169,32,3,0,True,2020-10-03T14:00:00Z,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-5025,28631,1392,6417
169,41,11,0,True,2020-10-17T11:30:00Z,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-7958,20859,163,8121
169,56,16,0,False,2020-10-25T14:00:00Z,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-2342,18936,75,2417
169,65,14,0,False,2020-11-01T14:00:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-1220,17834,72,1292
169,73,13,0,True,2020-11-07T12:30:00Z,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-809,17067,31,840
169,81,8,0,False,2020-11-22T12:00:00Z,2,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-649,16473,15,664
169,93,10,0,True,2020-11-28T17:30:00Z,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-245,16265,7,252
169,101,4,0,False,2020-12-05T12:30:00Z,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-230,16052,17,247
169,111,5,0,True,2020-12-12T20:00:00Z,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-154,15923,34,188
169,123,9,0,False,2020-12-16T18:00:00Z,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-121,15821,13,134
169,133,1,0,True,2020-12-19T17:30:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-94,15739,10,104
169,146,15,0,False,2020-12-26T20:00:00Z,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-171,15581,17,188
169,163,19,0,True,2021-01-01T17:30:00Z,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-87,15469,14,101
169,176,20,0,False,2021-01-12T20:15:00Z,1,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-139,15345,12,151
169,191,9,0,True,2021-01-27T20:15:00Z,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-100,15239,4,104
169,203,14,0,True,2021-01-30T12:30:00Z,0,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-43,15203,0,43
169,212,10,0,False,2021-02-03T19:30:00Z,1,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-47,15151,0,47
169,224,13,0,False,2021-02-06T20:00:00Z,3,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-66,15090,0,66
169,233,8,0,True,2021-02-14T19:00:00Z,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-74,15015,0,74
169,153,12,0,True,2021-02-17T20:15:00Z,1,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-74,15015,0,74
169,244,11,0,False,2021-02-20T17:30:00Z,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-59,14957,0,59
169,251,16,0,True,2021-03-01T20:00:00Z,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-46,14911,0,46
169,287,18,0,False,2021-03-04T18:00:00Z,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-46,14911,0,46
169,262,5,0,False,2021-03-08T18:00:00Z,2,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-28,14884,0,28
169,271,4,0,True,2021-03-13T17:30:00Z,1,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-32,14853,0,32
